ASN,Name
174,"COGENT-174 - Cogent Communications"
286,"KPN - KPN B.V."
786,"JANET - Jisc Services Limited"
1270,"UUNET-DE - UUNET Germany"
1342,"Fujitsu Invia Finland IP-network"
1421,"WANSECURITY - WANSecurity, Inc."
1426,"LIGHTWAVENET - Lightwave Networking, LLC"
1442,"ASNSISL - SureHosting Internet Solutions, Inc."
1625,"CORESPACE - CoreSpace, Inc."
1824,"HOSTING - Vertisoft"
1837,"NCIA - NATO Communications and Information Agency"
2121,"RIPE-MEETING-AS - Reseaux IP Europeens Network Coordination Centre (RIPE NCC)"
2514,"INFOSPHERE - NTT PC Communications, Inc."
2554,"IDCF2554 - IDC Frontier Inc."
2635,"AUTOMATTIC - Automattic, Inc"
2734,"CORESITE - CoreSite"
2906,"AS-SSI - Netflix Streaming Services Inc."
3064,"AFFINITY-FTL - Affinity Internet, Inc"
3175,"CITYTELECOM-MSK - Filanco LLC"
3177,"ERTEBAT-GOSTAR-AMINKOSHA - Visparad Web Hosting Service LLC"
3188,"ALASTYR - Alastyr Telekomunikasyon A.S."
3223,"VOXILITY - Voxility LLP"
3257,"GTT-BACKBONE - GTT Communications Inc."
3281,"SIA_2CLOUD - 2CLOUD"
3361,"DF-TUKWILA01 - Digital Fortress, Inc."
3408,"AMC-NETWORKS - Rainbow Media Holdings LLC"
3462,"HINET - Data Communication Business Group"
3488,"JAXANET - Information Systems Department, Japan Aerospace Exploration Agency"
3491,"BTN-ASN - PCCW Global, Inc."
3549,"LVLT-3549 - Level 3 Parent, LLC"
3561,"CENTURYLINK-LEGACY-SAVVIS - CenturyLink Communications, LLC"
3595,"ZCOLO-ATL01 - zColo"
3722,"NETACTUATE - NetActuate, Inc"
3728,"ONR-ASN - LightEdge Solutions"
3817,"FREESIDE-NET - Freeside Communications, Inc."
3842,"RAMNODE - RamNode LLC"
3900,"TEXASNET-ASN - YHC Corporation"
3962,"DIRECTNIC-CLUSTER1-TORRONTO - DirectNIC, Ltd."
4250,"ALENT-ASN-1 - Alentus Corporation"
4323,CENTURYLINK-LEGACY-TWTC
4594,"HKISL-ASN - Internet Solutions Limited"
4646,"SUNNYVISION - SunnyVision Limited"
4694,"IDCF - IDC Frontier Inc."
4755,"TATACOMM-AS - TATA Communications formerly VSNL is Leading ISP"
4758,"NICNET-VSNL-BOARDER-AP - National Informatics Centre"
4769,"EXABYTES-AS-AP - Exa Bytes Network Sdn.Bhd."
4770,"ICONZ-AS - ICONZ Ltd"
4800,"LINTASARTA-AS-AP - Network Access Provider and Internet Service Provider"
4842,"TH-AS-AP - Tianhai InfoTech"
4851,"HOSTNETWORKS-AS-AU-AP - Host Networks"
5048,"FIBER - FIBERNET Corp."
5404,"CONOVA-AS - conova communications GmbH"
5483,"MAGYAR-TELEKOM-MAIN-AS - Magyar Telekom plc."
5484,"CIS - Shabakeh Gostar Shahriyar Co. (Ltd.)"
5537,"RU-CENTER-AS - JSC &quot;RU-CENTER&quot;"
5576,"AKSHI - Agjencia Kombetare Shoqerise se Informacionit"
5577,"ROOT - root SA"
5693,"LATISYS-IRVINE - Latisys-Irvine, LLC"
6130,"AIS-WEST - American Internet Services, LLC."
6134,"XNNET - XNNET LLC"
6188,"VPSDATACENTER - Liquid Web, L.L.C"
6364,"ATLANTIC-NET-1 - Atlantic.net, Inc."
6428,CDM
6453,"AS6453 - TATA COMMUNICATIONS (AMERICA) INC"
6461,"ZAYO-6461 - Zayo Bandwidth"
6718,"NAV - NAV COMMUNICATIONS SRL"
6724,"STRATO - Strato AG"
6738,"DRI - DRI SAS"
6820,"LEIVO - Communication, Communications, Informatics Ltd."
6870,"SPACE-IX - RECONN LLC"
6903,"ZENON-AS - Rusonyx, Ltd."
6921,"ARACHNITEC - Arachnitec, INC."
6939,"HURRICANE - Hurricane Electric LLC"
7040,"NETMINDERS - NETMINDERS DATA SOLUTION"
7181,"AS-TIERP-7181 - TierPoint, LLC"
7203,"LEASEWEB-USA-SFO-12 - Leaseweb USA, Inc."
7215,"AHNET-AS - Affinity Internet, Inc"
7226,"ZCOLO-ATL01 - Latisys-Denver, LLC"
