ASN,Name
174,
286,"KPN - GTT Communications Inc."
984,
1270,"UUNET-DE - UUNET Germany"
1342,"Fujitsu Invia Finland IP-network"
1421,WANSECURITY
1426,LIGHTWAVENET
1442,ASNSISL
1625,CORESPACE
1824,
1837,
2121,
2514,
2554,"IDCF2554 IDC Frontier Inc."
2635,
2734,
2906,
3064,AFFINITY-FTL
3175,"CITYTELECOM-MSK - Citytelecom LLC"
3177,
3188,"ALASTYR - Alastyr Telekomunikasyon A.S."
3223,
3257,
3281,
3361,
3408,AMC-NETWORKS
3462,"HINET Data Communication Business Group"
3488,"JAXANET Information Systems Department"
3491,
3549,
3561,CENTURYLINK-LEGACY-SAVVIS
3595,
3722,NETACTUATE
3728,ONR-ASN
3817,
3842,
3900,
3962,DOT-HOLDING
4213,EVOCATIVE-GLOBAL
4250,ALENT-ASN-1
4323,
4594,"HKISL-ASN Internet Solutions Limited"
4646,
4694,
4755,
4758,"NICNET-VSNL-BOARDER-AP National Informatics Centre"
4769,"EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd."
4770,"ICONZ-AS ICONZ Ltd"
4800,
4842,"TH-AS-AP Tianhai InfoTech"
4851,"HOSTNETWORKS-AS-AU-AP Host Networks"
5048,FIBER
5056,
5404,"CONOVA-AS - conova communications GmbH"
5484,
5537,"RU-CENTER-AS - JSC &quot;RU-CENTER&quot;"
5576,"AKSHI - Agjencia Kombetare Shoqerise se Informacionit"
5577,
5693,
6130,
6134,
6188,
6364,ATLANTIC-NET-1
6428,CDM
6453,
6461,ZAYO-6461
6718,
6724,
6738,"DRI - DRI SAS"
6820,"LEIVO - Communications Informatics Ltd."
6870,"SPACE-IX - RECONN LLC"
6903,"ZENON-AS - LLC &quot;ASTRA CLOUD&quot;"
6921,ARACHNITEC
6939,HURRICANE
7040,NETMINDERS
7181,
7203,
7215,
7226,
7296,
7349,
7393,
7469,--MISSING--
7489,
7506,
7514,"MEX Computer Engineering &amp; Consulting"
7540,
7589,"TWELVE99-ENTERPRISE-SERVICES Arelion Sweden AB"
7595,
7598,"FORCEPOINT-CLOUD-APAC-AS Forcepoint Cloud Services - AsiaPac region"
7678,"PROX Prox System Design Inc."
